"","date_time_pdt","date_time_utc","freq","code","serial","project","act_x","act_y","act_z","act_v_sum","event_id","row_id","duration","act_v_sum_csum","act_v_sum_0_5","act_v_sum_1_0","act_v_sum_1_5","fish_id","id"
"1","2024-09-02 6:53","2024-09-02 13:53",150.28,14,"MT004639","bamfield angling",46,53,43,1.68,"e27",1,2,1.68,1,1,1,"BMCO_416","416-CO"
"2","2024-09-02 6:53","2024-09-02 13:53",150.28,14,"MT004639","bamfield angling",62,60,62,2,"e27",2,4,3.68,1,1,1,"BMCO_416","416-CO"
"3","2024-09-02 6:53","2024-09-02 13:53",150.28,14,"MT004639","bamfield angling",60,65,65,2,"e27",3,6,5.68,1,1,1,"BMCO_416","416-CO"
"4","2024-09-02 6:53","2024-09-02 13:53",150.28,14,"MT004639","bamfield angling",76,82,64,2,"e27",4,8,7.68,1,1,1,"BMCO_416","416-CO"
"5","2024-09-02 6:53","2024-09-02 13:53",150.28,14,"MT004639","bamfield angling",29,62,44,1.64,"e27",5,10,9.32,1,1,1,"BMCO_416","416-CO"
"6","2024-09-02 6:53","2024-09-02 13:53",150.28,14,"MT004639","bamfield angling",20,42,48,1.24,"e27",6,12,10.56,1,1,0,"BMCO_416","416-CO"
"7","2024-09-02 6:53","2024-09-02 13:53",150.28,14,"MT004639","bamfield angling",77,77,69,2,"e27",7,14,12.56,1,1,1,"BMCO_416","416-CO"
"8","2024-09-02 6:53","2024-09-02 13:53",150.28,14,"MT004639","bamfield angling",48,63,56,1.92,"e27",8,16,14.48,1,1,1,"BMCO_416","416-CO"
"9","2024-09-02 6:53","2024-09-02 13:53",150.28,14,"MT004639","bamfield angling",63,90,61,2,"e27",9,18,16.48,1,1,1,"BMCO_416","416-CO"
"10","2024-09-02 6:54","2024-09-02 13:53",150.28,14,"MT004639","bamfield angling",2,16,17,0.44,"e27",10,20,16.92,0,0,0,"BMCO_416","416-CO"
"11","2024-09-02 6:54","2024-09-02 13:53",150.28,14,"MT004639","bamfield angling",9,27,27,0.76,"e27",11,22,17.68,1,0,0,"BMCO_416","416-CO"
"12","2024-09-02 6:54","2024-09-02 13:53",150.28,14,"MT004639","bamfield angling",19,28,23,0.8,"e27",12,24,18.48,1,0,0,"BMCO_416","416-CO"
"13","2024-09-02 6:54","2024-09-02 13:53",150.28,14,"MT004639","bamfield angling",7,36,31,0.92,"e27",13,26,19.4,1,0,0,"BMCO_416","416-CO"
"14","2024-09-02 6:54","2024-09-02 13:53",150.28,14,"MT004639","bamfield angling",35,30,24,1.08,"e27",14,28,20.48,1,1,0,"BMCO_416","416-CO"
"15","2024-09-02 6:54","2024-09-02 13:53",150.28,14,"MT004639","bamfield angling",30,40,44,1.32,"e27",15,30,21.8,1,1,0,"BMCO_416","416-CO"
"16","2024-09-02 6:54","2024-09-02 13:53",150.28,14,"MT004639","bamfield angling",26,47,42,1.44,"e27",16,32,23.24,1,1,0,"BMCO_416","416-CO"
"17","2024-09-02 6:54","2024-09-02 13:53",150.28,14,"MT004639","bamfield angling",7,36,23,0.8,"e27",17,34,24.04,1,0,0,"BMCO_416","416-CO"
"18","2024-09-02 6:54","2024-09-02 13:53",150.28,14,"MT004639","bamfield angling",2,43,18,0.8,"e27",18,36,24.84,1,0,0,"BMCO_416","416-CO"
"19","2024-09-02 6:54","2024-09-02 13:53",150.28,14,"MT004639","bamfield angling",5,49,18,0.92,"e27",19,38,25.76,1,0,0,"BMCO_416","416-CO"
"20","2024-09-02 6:54","2024-09-02 13:53",150.28,14,"MT004639","bamfield angling",5,41,17,0.8,"e27",20,40,26.56,1,0,0,"BMCO_416","416-CO"
"21","2024-09-02 6:54","2024-09-02 13:53",150.28,14,"MT004639","bamfield angling",6,50,14,0.92,"e27",21,42,27.48,1,0,0,"BMCO_416","416-CO"
"22","2024-09-02 6:54","2024-09-02 13:53",150.28,14,"MT004639","bamfield angling",10,71,32,1.44,"e27",22,44,28.92,1,1,0,"BMCO_416","416-CO"
"23","2024-09-02 6:54","2024-09-02 13:53",150.28,14,"MT004639","bamfield angling",41,65,64,2,"e27",23,46,30.92,1,1,1,"BMCO_416","416-CO"
"24","2024-09-02 6:54","2024-09-02 13:53",150.28,14,"MT004639","bamfield angling",64,55,65,2,"e27",24,48,32.92,1,1,1,"BMCO_416","416-CO"
"25","2024-09-02 6:54","2024-09-02 13:53",150.28,14,"MT004639","bamfield angling",32,33,30,1.12,"e27",25,50,34.04,1,1,0,"BMCO_416","416-CO"
"26","2024-09-02 6:54","2024-09-02 13:53",150.28,14,"MT004639","bamfield angling",41,42,48,1.6,"e27",26,52,35.64,1,1,1,"BMCO_416","416-CO"
"27","2024-09-02 6:54","2024-09-02 13:53",150.28,14,"MT004639","bamfield angling",3,42,15,0.76,"e27",27,54,36.4,1,0,0,"BMCO_416","416-CO"
"28","2024-09-02 6:54","2024-09-02 13:53",150.28,14,"MT004639","bamfield angling",6,39,16,0.76,"e27",28,56,37.16,1,0,0,"BMCO_416","416-CO"
"29","2024-09-02 6:54","2024-09-02 13:53",150.28,14,"MT004639","bamfield angling",9,46,22,0.92,"e27",29,58,38.08,1,0,0,"BMCO_416","416-CO"
"30","2024-09-02 6:54","2024-09-02 13:54",150.28,14,"MT004639","bamfield angling",9,35,14,0.68,"e27",30,60,38.76,1,0,0,"BMCO_416","416-CO"
"31","2024-09-02 6:54","2024-09-02 13:54",150.28,14,"MT004639","bamfield angling",8,42,16,0.84,"e27",31,62,39.6,1,0,0,"BMCO_416","416-CO"
"32","2024-09-02 6:54","2024-09-02 13:54",150.28,14,"MT004639","bamfield angling",6,44,21,0.88,"e27",32,64,40.48,1,0,0,"BMCO_416","416-CO"
"33","2024-09-02 6:54","2024-09-02 13:54",150.28,14,"MT004639","bamfield angling",7,43,21,0.88,"e27",33,66,41.36,1,0,0,"BMCO_416","416-CO"
"34","2024-09-02 6:54","2024-09-02 13:54",150.28,14,"MT004639","bamfield angling",3,65,23,1.24,"e27",34,68,42.6,1,1,0,"BMCO_416","416-CO"
"35","2024-09-02 6:54","2024-09-02 13:54",150.28,14,"MT004639","bamfield angling",3,62,22,1.2,"e27",35,70,43.8,1,1,0,"BMCO_416","416-CO"
